Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Cenotaph Mask,2374129871,"""6917529934968569392""",,Exotic,Helmet,lostsectors,Warlock,1810,,10,Warlock(1833),true,false,6,21,,4,16,21,24,8,8,81,2,14,14,22,6,6,64,"Xenomorph - , Raid",#endgame #pve,High Priority*,Minor Recovery Mod*,Special Ammo Scout*,Arc Siphon*,Heavy Ammo Finder*,Envious Touch*,,,,,
Point-Contact Cannon Brace,1703598057,"""6917529935248800454""",,Exotic,Gauntlets,lostsectors,Titan,1800,,10,Titan(1833),true,false,5,18,,4,22,12,9,4,31,82,2,20,10,7,2,24,65,"Point Contact Cannon Brace - , Dungeon","#casual/#endgame #pve, #arc",Hammer of the Gods*,Minor Strength Mod*,Firepower*,Heavy Handed*,Melee Kickstart*,Erebos Glance*,Anchorage*,,,,
Mask of Bakris,1619425569,"""6917529936301657365""",,Exotic,Helmet,lostsectors,Hunter,1810,,10,Vault,false,false,4,12,,17,4,15,22,12,4,74,15,2,13,20,10,2,62,,#pvp #stasis,Light Shift*,Basalt Toxic*,Beastly Visage*,,,,,,,,
Gyrfalcon's Hauberk,461841403,"""6917529937099281097""",,Exotic,Chest Armor,lostsectors,Hunter,1810,,10,Hunter(1831),true,false,5,18,,24,8,18,31,4,4,89,12,6,16,29,2,2,67,"Gyrfalcon's Hauberk - , Void","#endgame #pve, #void, #replace #mw version","See Me, Feel Me*",Mobility Mod*,Arc Resistance*,Solar Resistance*,Concussive Dampener*,Superblack*,,,,,
Resonant Fury Boots,2748020989,"""6917529938679330506""",archive,Legendary,Leg Armor,vowofthedisciple,Warlock,1800,,9,Vault,true,false,5,16,,2,19,9,23,2,6,61,2,19,9,23,2,6,61,,"#raid, high total, #replace other raid boots",Skele-Ghaul*,,,,,,,,,,
Omnioculus,1935198785,"""6917529939330095993""",infuse,Exotic,Chest Armor,lostsectors,Hunter,1810,,4,Vault,false,false,4,13,,2,16,16,14,10,7,65,2,16,16,14,10,7,65,,,Beyond The Veil*,,,,,,,,,,
Willbreaker's Greaves,3020524483,"""6917529939795663872""",infuse,Legendary,Leg Armor,crotasend,Titan,1810,,4,Vault,false,false,6,22,,2,23,6,12,14,2,59,2,23,6,12,14,2,59,,,,,,,,,,,,,
Wild Hunt Vest,1458739906,"""6917529940968424741""",,Legendary,Chest Armor,seasonpass,Hunter,1600,,10,Vault,false,false,4,12,,19,4,16,24,12,4,79,17,2,14,22,10,2,67,,high total,,,,,,,,,,,
Knucklehead Radar,1321354572,"""6917529941701721410""",,Exotic,Helmet,,Hunter,1810,,9,Vault,false,false,1,1,,17,7,12,16,6,12,70,17,7,12,16,6,12,70,,#pvp,Upgraded Sensor Pack*,Erebos Glance*,,,,,,,,,
Graviton Forfeit,2773056939,"""6917529941708050906""",,Exotic,Helmet,,Hunter,1810,,10,Hunter(1831),true,false,1,2,,36,4,10,26,9,4,89,24,2,8,24,7,2,67,"Graviton Forfeit - , Nightfall","#void, incredible for #solo content and for surviving in #endgame #pve",Vanishing Shadow*,Mobility Mod*,Harmonic Siphon*,Heavy Ammo Finder*,Special Ammo Finder*,Luminous Void*,Rigel Crossroads*,,,,
Deathsinger's Grip,427348780,"""6917529941744380191""",,Legendary,Gauntlets,crotasend,Warlock,1810,,10,Vault,true,false,6,22,,4,19,14,26,8,4,75,2,17,12,24,6,2,63,,"#raid, high total",Firepower*,Impact Induction*,Heavy Handed*,Stoic When Panicked*,,,,,,,
Veiled Tithes Greaves,2817251955,"""6917529942488584226""",,Legendary,Leg Armor,seasonpass,Titan,1800,,10,Vault,true,false,6,22,,4,8,25,28,8,4,77,2,6,23,26,6,2,65,,high recovery + high discipline,Exhumed Excess*,,,,,,,,,,
Veiled Tithes Plate,2953343703,"""6917529942488584474""",,Legendary,Chest Armor,seasonpass,Titan,1800,,9,Vault,false,false,6,22,,2,7,23,21,2,9,64,2,7,23,21,2,9,64,,high recovery + high discipline,Exhumed Excess*,,,,,,,,,,
Techeun's Regalia Gauntlets,428806571,"""6917529942488587864""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,true,false,6,20,,4,23,11,30,4,4,76,2,21,9,28,2,2,64,,high total,Queen's Favor*,Valkyrie Zero*,,,,,,,,,
Veiled Tithes Greaves,2817251955,"""6917529942488588793""",,Legendary,Leg Armor,seasonpass,Titan,1800,,10,Vault,true,false,6,22,,4,28,8,28,8,4,80,2,26,6,26,6,2,68,Hoarfrost - ,high resilience + high discipline,Exhumed Excess*,Valkyrie Zero*,,,,,,,,,
Techeun's Regalia Gauntlets,428806571,"""6917529942488589531""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,false,false,6,20,,4,9,25,25,4,10,77,2,7,23,23,2,8,65,,high recovery + high discipline,Queen's Favor*,,,,,,,,,,
"NPA ""Weir-Walker"" Gauntlets",431605328,"""6917529942495003484""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,true,false,6,21,,4,4,32,30,4,4,78,2,2,30,28,2,2,66,,"high recovery + high discipline, # mw",Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Gauntlets",431605328,"""6917529942495004261""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,false,false,6,21,,4,14,18,28,4,4,72,2,12,16,26,2,2,60,,high total,Sonar Amplifier*,Photo Finish*,,,,,,,,,
Young Ahamkara's Spine,475652357,"""6917529943394658107""",infuse,Exotic,Gauntlets,,Hunter,1810,,3,Vault,false,false,1,1,,10,7,18,13,18,2,68,10,7,18,13,18,2,68,,,Wish-Dragon Teeth*,,,,,,,,,,
Icefall Mantle,1467044898,"""6917529943576664996""",infuse,Exotic,Gauntlets,lostsectors,Titan,1810,,1,Vault,false,false,4,12,,10,22,2,10,10,10,64,10,22,2,10,10,10,64,,,Glacial Guard*,,,,,,,,,,
Armamentarium,3874247549,"""6917529943912842030""",infuse,Exotic,Chest Armor,,Titan,1810,,3,Vault,false,false,1,3,,6,17,13,12,15,2,65,6,17,13,12,15,2,65,,,And Another Thing*,,,,,,,,,,
Contraverse Hold,1906093346,"""6917529944305662207""",,Exotic,Gauntlets,,Warlock,1800,,10,Vault,false,false,2,4,,4,24,14,19,14,4,79,2,22,12,17,12,2,67,,"#void, #casual #pve, #pvp",Chaotic Exchanger*,Crucible Alizarin*,Grasp of the Void*,,,,,,,,
Deathsinger's Gaze,1964816829,"""6917529945638940050""",archive,Legendary,Helmet,crotasend,Warlock,1810,,1,Vault,true,false,6,22,,7,2,23,19,2,10,63,7,2,23,19,2,10,63,,"#raid, high recovery + high discipline, only keeping for mod slot",,,,,,,,,,,
Willbreaker's Greaves,3020524483,"""6917529945775282359""",,Legendary,Leg Armor,crotasend,Titan,1810,,10,Vault,true,false,6,22,,4,23,9,25,8,4,73,2,21,7,23,6,2,61,,"#raid, high total",Erebos Glance*,,,,,,,,,,
Knucklehead Radar,1321354572,"""6917529946096281643""",infuse,Exotic,Helmet,,Hunter,1810,,2,Vault,false,false,1,1,,8,24,2,22,10,2,68,8,24,2,22,10,2,68,,,Upgraded Sensor Pack*,,,,,,,,,,
Gemini Jester,1163283805,"""6917529946462954565""",archive,Exotic,Leg Armor,,Hunter,1800,,1,Vault,true,false,1,2,,12,2,20,20,6,6,66,12,2,20,20,6,6,66,,#pvp,Misdirection*,,,,,,,,,,
Deathsinger's Herald,1497538390,"""6917529946556691867""",archive,Legendary,Leg Armor,crotasend,Warlock,1810,,1,Vault,true,false,6,22,,9,6,18,11,12,9,65,9,6,18,11,12,9,65,,"#raid, keep until something better",,,,,,,,,,,
Graviton Forfeit,2773056939,"""6917529947344396843""",infuse,Exotic,Helmet,,Hunter,1810,,3,Vault,false,false,1,2,,7,16,11,23,6,2,65,7,16,11,23,6,2,65,,,Vanishing Shadow*,,,,,,,,,,
Aeon Swift,3942036043,"""6917529947368737227""",,Exotic,Gauntlets,,Hunter,1810,,10,Vault,true,false,1,2,,13,15,15,27,4,8,82,11,13,13,25,2,6,70,Aeons - ,"#neutral #stasis, #endgame #pve",Sect of Insight*,Firepower*,Heavy Handed*,Impact Induction*,Gambit Jadestone*,,,,,,
Second Chance,1443166262,"""6917529947920012744""",,Exotic,Gauntlets,lostsectors,Titan,1800,,9,Vault,true,false,5,17,,2,20,10,23,7,2,64,2,20,10,23,7,2,64,,"#void #endgame #pve, this might be useful with the S21 buff, giving melee charge on #barrier stun, but it's niche. #mw",Myrmidon's Reach*,,,,,,,,,,
Loreley Splendor Helm,3316517958,"""6917529947920021594""",,Exotic,Helmet,lostsectors,Titan,1800,,10,Titan(1833),true,false,5,16,,4,20,13,36,8,4,85,2,18,11,24,6,2,63,"Loreley Splendor - , Solar","#endgame #pve, #solar, #replace #mw version",Cauterizing Flame*,Discipline Mod*,Harmonic Siphon*,Hands-On*,Special Ammo Finder*,Erebos Glance*,Adamantine Rebirth*,,,,
Point-Contact Cannon Brace,1703598057,"""6917529948017113119""",,Exotic,Gauntlets,lostsectors,Titan,1800,,10,Vault,true,false,5,18,,4,22,14,26,4,8,78,2,20,12,24,2,6,66,,"#casual #pve, probably #replace masterworked version, but since strength is important maybe not",Hammer of the Gods*,Erebos Glance*,Anchorage*,,,,,,,,
Phoenix Protocol,4057299719,"""6917529948197192321""",,Exotic,Chest Armor,,Warlock,1810,,10,Warlock(1833),true,false,2,4,,6,9,33,23,4,12,87,4,2,31,21,2,10,70,"Phoenix Protocol - , Nightfall","#endgame #pve, #solar",Battle-Hearth*,Minor Resilience Mod*,Void Resistance*,Void Resistance*,Concussive Dampener*,Vintage Timber*,Phoenixfall*,,,,
Willbreaker's Resolve,1261894567,"""6917529948290596757""",,Legendary,Chest Armor,crotasend,Titan,1810,,9,Vault,true,false,6,22,,8,2,22,23,2,7,64,8,2,22,23,2,7,64,,"high recovery + high discipline, #raid",,,,,,,,,,,
Wormhusk Crown,3562696927,"""6917529949231724450""",,Exotic,Helmet,,Hunter,1810,,10,Hunter(1831),true,false,1,3,,25,16,9,20,8,8,86,13,14,7,18,6,6,64,"Wormhusk - ,  - PvP - Wormhusk - , Strand, PvP","#neutral, #pvp, #pve, #replace other wormhusk",Burning Souls*,Mobility Mod*,Harmonic Siphon*,Arc Siphon*,Heavy Ammo Finder*,Atmospheric Glow*,Acolyte's Ambition*,,,,
Lucky Raspberry,903984858,"""6917529952786461309""",,Exotic,Chest Armor,,Hunter,1810,,2,Vault,false,false,1,1,,8,13,14,28,2,2,67,8,13,14,28,2,2,67,,"#arc, #casual #pve",Probability Matrix*,,,,,,,,,,
Liar's Handshake,4165919945,"""6917529952794036726""",,Exotic,Gauntlets,,Hunter,1810,,9,Vault,false,false,2,6,,17,6,10,29,2,2,66,17,6,10,29,2,2,66,,"#arc, #endgame #pve",Cross Counter*,Sinking Feeling*,Thalia's Reach*,,,,,,,,
Gemini Jester,1163283805,"""6917529953105681518""",infuse,Exotic,Leg Armor,,Hunter,1810,,4,Vault,false,false,1,2,,19,6,6,29,2,2,64,19,6,6,29,2,2,64,,,Misdirection*,,,,,,,,,,
Star-Eater Scales,1001356380,"""6917529953113705586""",,Exotic,Leg Armor,lostsectors,Hunter,1810,,10,Hunter(1831),true,false,4,14,,18,12,19,23,4,12,88,6,10,17,21,2,10,66,"Star Eater Scales - , Raid","#neutral, #endgame #pve, #replace other version",Feast of Light*,Mobility Mod*,Recuperation*,Solar Weapon Surge*,Solar Weapon Surge*,Melchizedek Bramble*,,,,,
Lucky Pants,193869522,"""6917529953228516663""",,Exotic,Leg Armor,,Hunter,1810,,9,Vault,true,false,1,1,,13,21,10,24,2,6,76,3,21,10,24,2,6,66,,"#casual #pve, #dps, #mw",Illegally Modded Holster*,Mobility Mod*,,,,,,,,,
Cyrtarachne's Facade,192896783,"""6917529954432725347""",archive,Exotic,Helmet,lostsectors,Hunter,1810,,4,Vault,true,false,6,20,,15,10,6,24,6,2,63,15,10,6,24,6,2,63,,,Acrobat's Focus*,,,,,,,,,,
"NPA ""Weir-Walker"" Legguards",748663978,"""6917529957714958329""",,Legendary,Leg Armor,seasonpass,Titan,1800,,10,Vault,false,false,6,21,,8,25,4,30,4,4,75,6,23,2,28,2,2,63,,high resilience + high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Legguards",748663978,"""6917529957714959094""",,Legendary,Leg Armor,seasonpass,Titan,1800,,10,Vault,false,false,6,21,,4,23,12,22,14,4,79,2,21,10,20,12,2,67,,high total,Sonar Amplifier*,,,,,,,,,,
Techeun's Regalia Gauntlets,428806571,"""6917529957717551262""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,true,false,6,20,,4,29,4,24,4,11,76,2,27,2,22,2,9,64,,high resilience + high discipline,Queen's Favor*,,,,,,,,,,
"NPA ""Weir-Walker"" Helm",493786073,"""6917529957720362896""",,Legendary,Helmet,seasonpass,Titan,1800,,10,Titan(1833),true,false,6,21,,4,22,14,23,12,4,79,2,20,12,21,10,2,67,ACDC Fence - ,"high total, #replace candescent helm",Sonar Amplifier*,Helm of the Taken King*,,,,,,,,,
Veiled Tithes Plate,2953343703,"""6917529957720365672""",,Legendary,Chest Armor,seasonpass,Titan,1800,,10,Vault,true,false,6,22,,4,22,14,26,4,9,79,2,20,12,24,2,7,67,,high total,Exhumed Excess*,,,,,,,,,,
"NPA ""Weir-Walker"" Legguards",748663978,"""6917529957720365902""",,Legendary,Leg Armor,seasonpass,Titan,1800,,9,Vault,false,false,6,21,,2,20,12,26,2,2,64,2,20,12,26,2,2,64,,"high total, #mw",Sonar Amplifier*,,,,,,,,,,
Techeun's Regalia Gauntlets,428806571,"""6917529957720368050""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,false,false,6,20,,4,22,11,32,4,4,77,2,20,9,30,2,2,65,Abeyant Leap - ,high resilience + high discipline,Queen's Favor*,,,,,,,,,,
Techeun's Regalia Plate,3312368357,"""6917529957722248141""",,Legendary,Chest Armor,seasonpass,Titan,1800,,10,Vault,true,false,6,20,,4,28,8,28,4,4,76,2,26,6,26,2,2,64,,high resilience + high discipline,Queen's Favor*,,,,,,,,,,
Techeun's Regalia Helmet,1089162050,"""6917529957722252036""",,Legendary,Helmet,seasonpass,Titan,1800,,10,Vault,false,false,6,20,,4,25,10,23,11,4,77,2,23,8,21,9,2,65,,high resilience + high discipline,Queen's Favor*,,,,,,,,,,
Peregrine Greaves,2255796155,"""6917529959152404683""",,Exotic,Leg Armor,,Titan,1810,,10,Titan(1833),true,false,2,7,,5,29,12,17,12,9,84,3,22,10,15,10,7,67,Nightfall,"#endgame #pve, #pvp. Seems really good in #solo lost sectors since you can 1-shot champs",Peregrine Strike*,Minor Resilience Mod*,Innervation*,Absolution*,Stacks on Stacks*,Melchizedek Bramble*,,,,,
Cadmus Ridge Lancecap,3574051505,"""6917529960448304863""",,Exotic,Helmet,lostsectors,Titan,1810,,9,Vault,true,false,6,20,,2,25,6,18,7,6,64,2,25,6,18,7,6,64,,"#stasis, #casual #pve",Lancer's Vigil*,,,,,,,,,,
Celestial Nighthawk,1321354573,"""6917529960753485083""",,Exotic,Helmet,,Hunter,1800,,9,Vault,false,false,1,1,,3,11,20,20,6,6,66,3,11,20,20,6,6,66,,"#endgame #solar #pve, #replace masterworked version",Hawkeye Hack*,,,,,,,,,,
Caliban's Hand,3453042252,"""6917529960753486323""",infuse,Exotic,Gauntlets,lostsectors,Hunter,1810,,1,Vault,false,false,5,17,,10,11,10,18,6,6,61,10,11,10,18,6,6,61,,,Roast 'Em*,,,,,,,,,,
Dark Age Chestrig,3735435664,"""6917529960966541663""",,Legendary,Chest Armor,dungeon,Titan,1810,,10,Vault,false,false,6,23,,4,18,16,25,4,8,75,2,16,14,23,2,6,63,,high total,Artifice Armor*,Skele-Ghaul*,,,,,,,,,
Point-Contact Cannon Brace,1703598057,"""6917529962015466708""",infuse,Exotic,Gauntlets,lostsectors,Titan,1810,,3,Vault,false,false,5,18,,6,25,2,10,2,21,66,6,25,2,10,2,21,66,,,Hammer of the Gods*,,,,,,,,,,
Icefall Mantle,1467044898,"""6917529962020431209""",infuse,Exotic,Gauntlets,lostsectors,Titan,1810,,2,Vault,false,false,4,12,,6,16,7,10,10,10,59,6,16,7,10,10,10,59,,,Glacial Guard*,,,,,,,,,,
Wyrmguard Robe,3400974073,"""6917529962398753117""",,Legendary,Chest Armor,rivenslair,Warlock,1800,,10,Vault,false,false,6,23,,4,9,26,26,9,4,78,2,7,24,24,7,2,66,,high recovery + high discipline,Ascendant Protector*,,,,,,,,,,
Wyrmguard Robe,3400974073,"""6917529962400955022""",,Legendary,Chest Armor,rivenslair,Warlock,1800,,10,Warlock(1833),true,false,6,23,,4,28,8,22,4,24,90,2,26,6,20,2,12,68,"Stag PvE - , Xenomorph - ,  - Felwinter's Helm - , Raid",high resilience + high disicpline,Ascendant Protector*,Strength Mod*,Arc Resistance*,Solar Resistance*,Concussive Dampener*,Envious Touch*,Phenotype Plasticity Robes*,,,,
Techeun's Regalia Boots,2549387168,"""6917529962400956115""",,Legendary,Leg Armor,seasonpass,Warlock,1800,,10,Vault,false,false,6,20,,4,18,18,28,4,4,76,2,16,16,26,2,2,64," - Chromatic Fire - ,  - Fallen Sunstar - ,  - Dawn Chorus - ",high total,Queen's Favor*,,,,,,,,,,
Techeun's Regalia Hood,3056490591,"""6917529962403466608""",,Legendary,Helmet,seasonpass,Warlock,1800,,10,Vault,false,false,6,20,,4,4,29,28,4,4,73,2,2,27,26,2,2,61,,high recovery + high discipline,Queen's Favor*,,,,,,,,,,
Wyrmguard Boots,4143357569,"""6917529962403471061""",,Legendary,Leg Armor,rivenslair,Warlock,1800,,10,Vault,false,false,6,23,,4,28,8,29,4,4,77,2,26,6,27,2,2,65,,high resilience + high disipline,Ascendant Protector*,,,,,,,,,,
Techeun's Regalia Hood,3056490591,"""6917529962405998937""",,Legendary,Helmet,seasonpass,Warlock,1800,,10,Vault,false,false,6,20,,4,11,23,26,9,4,77,2,9,21,24,7,2,65,,high total,Queen's Favor*,Erebos Glance*,,,,,,,,,
Techeun's Regalia Boots,2549387168,"""6917529962408043770""",,Legendary,Leg Armor,seasonpass,Warlock,1800,,1,Vault,false,false,6,20,,2,2,27,23,2,7,63,2,2,27,23,2,7,63,,"high recovery + high discipline, #replace  id:""6917529791126586221""",Queen's Favor*,Imperial Opulence*,Iron Forerunner Boots*,,,,,,,,
Dark Age Mask,220527011,"""6917529963565619435""",,Legendary,Helmet,dungeon,Hunter,1810,,10,Vault,false,false,6,23,,8,14,18,25,4,8,77,6,12,16,23,2,6,65,,high total,,,,,,,,,,,
Wormgod Caress,1734844651,"""6917529963652156124""",,Exotic,Gauntlets,,Titan,1800,,10,Vault,false,false,1,3,,14,13,15,14,12,18,86,12,11,13,7,10,16,69,Wormgod Caress - ,"#endgame #pve, #strand with banner or #solar with bonk",Burning Fists*,Minor Discipline Mod*,Firepower*,Heavy Handed*,Heavy Handed*,Organic Adornment*,,,,,
Rain of Fire,1624882687,"""6917529965109935116""",,Exotic,Leg Armor,lostsectors,Warlock,1810,,9,Vault,false,false,5,17,,7,15,10,17,2,14,65,7,15,10,17,2,14,65,,"#endgame #pve, #solar, #replace #mw version",Soaring Fusilier*,,,,,,,,,,
The Dragon's Shadow,2766109874,"""6917529965505378796""",infuse,Exotic,Chest Armor,,Hunter,1810,,1,Vault,false,false,1,1,,11,24,2,16,6,10,69,11,24,2,16,6,10,69,,,Wraithmetal Mail*,,,,,,,,,,
Eternal Warrior,2808156426,"""6917529965734245295""",archive,Exotic,Helmet,,Titan,1810,,2,Vault,true,false,1,3,,15,17,2,7,16,7,64,15,17,2,7,16,7,64,,"#arc, #casual #pve",Resolute*,,,,,,,,,,
Radiant Dance Machines,1702288800,"""6917529972098054505""",,Exotic,Leg Armor,lostsectors,Hunter,1810,,1,Vault,false,false,4,15,,12,15,6,20,2,10,65,12,15,6,20,2,10,65,,"#pve #dps. You can fire like 5 rockets in a row, and if any kill anything, you can fire more",The Dance*,Recuperation*,Valkyrie Zero*,,,,,,,,
Cenotaph Mask,2374129871,"""6917529972226694760""",infuse,Exotic,Helmet,lostsectors,Warlock,1810,,2,Vault,false,false,6,21,,7,18,7,16,6,10,64,7,18,7,16,6,10,64,,,High Priority*,,,,,,,,,,
Boots of Detestation,3702434452,"""6917529972231507865""",,Legendary,Leg Armor,nightmare,Warlock,1810,,10,Vault,false,false,6,20,,4,16,16,26,9,4,75,2,14,14,24,7,2,63,,"high total, #raid",,,,,,,,,,,
Photonic Grips,1602717624,"""6917529973276126338""",,Legendary,Gauntlets,trials,Hunter,1810,,10,Vault,true,false,6,22,,18,10,11,30,4,4,77,16,8,9,28,2,2,65,,high total,,,,,,,,,,,
Wyrmguard Robe,3400974073,"""6917529973533915106""",,Legendary,Chest Armor,rivenslair,Warlock,1810,,10,Vault,false,false,6,23,,4,22,13,23,10,4,76,2,20,11,21,8,2,64,,high resilience + high disicpline,Ascendant Protector*,,,,,,,,,,
"NPA ""Weir-Walker"" Hood",3332065301,"""6917529974428094701""",,Legendary,Helmet,seasonpass,Hunter,1800,,9,Vault,false,false,6,21,,29,2,2,23,2,7,65,29,2,2,23,2,7,65,,high mobility + high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Strides",3513993870,"""6917529974430780477""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,10,Vault,true,false,6,21,,9,28,8,24,4,11,84,2,26,6,22,2,9,67,,high resilience + high discipline,Sonar Amplifier*,Minor Mobility Mod*,Absolution*,Void Scavenger*,Void Weapon Surge*,Amethyst Veil*,,,,,
"NPA ""Weir-Walker"" Jacket",2213223388,"""6917529974432923671""",,Legendary,Chest Armor,seasonpass,Hunter,1800,,9,Vault,false,false,6,21,,23,2,8,29,2,2,66,23,2,8,29,2,2,66,,high mobility + high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Strides",3513993870,"""6917529974432925024""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,10,Vault,false,false,6,21,,10,18,11,29,4,4,76,8,16,9,27,2,2,64,,high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Jacket",2213223388,"""6917529974435472927""",,Legendary,Chest Armor,seasonpass,Hunter,1800,,9,Vault,false,false,6,21,,2,10,20,26,6,2,66,2,10,20,26,6,2,66,,high recovery + high discipline,Sonar Amplifier*,Aphotic Lamellar Vest*,,,,,,,,,
"NPA ""Weir-Walker"" Strides",3513993870,"""6917529974435474001""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,10,Hunter(1831),true,true,6,21,,35,4,10,26,9,4,88,23,2,8,24,7,2,66,"Celestial Nighthawk - ,  - Omnioculus - , Solar",high mobility + high discipline,Sonar Amplifier*,Mobility Mod*,Recuperation*,Solar Weapon Surge*,Solar Weapon Surge*,Crucible Alizarin*,Solstice Strides (Majestic)*,,,,
"NPA ""Weir-Walker"" Hood",3332065301,"""6917529974435474928""",,Legendary,Helmet,seasonpass,Hunter,1800,,10,Vault,false,false,6,21,,9,25,4,28,4,4,74,7,23,2,26,2,2,62,,high resilience + high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Strides",3513993870,"""6917529974435477414""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,10,Vault,false,false,6,21,,4,11,22,29,4,4,74,2,9,20,27,2,2,62,,high recovery + high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Strides",3513993870,"""6917529974435481007""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,9,Vault,false,false,6,21,,2,15,16,23,7,2,65,2,15,16,23,7,2,65,Aeons - ,high total,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Hood",3332065301,"""6917529974437553763""",,Legendary,Helmet,seasonpass,Hunter,1800,,10,Vault,false,false,6,21,,18,8,12,30,4,4,76,16,6,10,28,2,2,64,,high discipline,Sonar Amplifier*,,,,,,,,,,
Wyrmguard Robe,3400974073,"""6917529974437555601""",,Legendary,Chest Armor,rivenslair,Warlock,1800,,10,Vault,false,false,6,23,,4,30,4,29,4,4,75,2,28,2,27,2,2,63,,high resilience + high discipline,Ascendant Protector*,,,,,,,,,,
Wyrmguard Boots,4143357569,"""6917529974437556316""",,Legendary,Leg Armor,rivenslair,Warlock,1800,,3,Vault,false,false,6,23,,6,23,2,2,2,27,62,6,23,2,2,2,27,62,,high resilience + high strength,Ascendant Protector*,,,,,,,,,,
"NPA ""Weir-Walker"" Hood",3332065301,"""6917529974437558097""",,Legendary,Helmet,seasonpass,Hunter,1800,,10,Vault,false,false,6,21,,4,4,30,28,8,4,78,2,2,28,26,6,2,66,,high recovery + high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Strides",3513993870,"""6917529974437559830""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,10,Vault,false,false,6,21,,24,4,11,26,8,4,77,22,2,9,24,6,2,65,,high mobility + high discipline,Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Jacket",2213223388,"""6917529974437561366""",,Legendary,Chest Armor,seasonpass,Hunter,1800,,9,Vault,false,false,6,21,,8,16,9,26,6,2,67,8,16,9,26,6,2,67,Aeons - ,high total,Sonar Amplifier*,,,,,,,,,,
Wyrmguard Boots,4143357569,"""6917529974440132942""",,Legendary,Leg Armor,rivenslair,Warlock,1800,,9,Vault,false,false,6,23,,2,30,2,23,6,2,65,2,30,2,23,6,2,65,,"high resilience + high discipline, #replace id:""6917529867796317124""",Ascendant Protector*,,,,,,,,,,
Wyrmguard Robe,3400974073,"""6917529974440141026""",,Legendary,Chest Armor,rivenslair,Warlock,1800,,10,Vault,false,false,6,23,,4,22,11,28,4,8,77,2,20,9,26,2,6,65,,high resilience + high discipline,Ascendant Protector*,,,,,,,,,,
Hoarfrost-Z,1322544481,"""6917529977242049655""",,Exotic,Chest Armor,lostsectors,Titan,1800,,1,Vault,false,false,5,16,,2,20,10,16,2,14,64,2,20,10,16,2,14,64,,"#stasis, #casual #pve, #replace #mw",Glacial Fortification*,,,,,,,,,,
Abeyant Leap,3637722482,"""6917529978348130593""",,Exotic,Leg Armor,lostsectors,Titan,1800,,3,Vault,true,false,6,20,,2,20,10,20,2,10,64,2,20,10,20,2,10,64,,"#endgame #pve, #strand, I think this is currently worse because all my armor is split this way. Keep for different split",Puppeteer's Control*,,,,,,,,,,
Shards of Galanor,691578979,"""6917529979696592430""",,Exotic,Gauntlets,,Hunter,1800,,1,Vault,false,false,2,4,,13,11,10,26,2,6,68,13,11,10,26,2,6,68,,,Sharp Edges*,Deathwish*,,,,,,,,,
Wormhusk Crown,3562696927,"""6917529979698289480""",,Exotic,Helmet,,Hunter,1800,,1,Vault,false,false,1,3,,11,17,7,22,2,10,69,11,17,7,22,2,10,69,,,Burning Souls*,,,,,,,,,,
Lucky Raspberry,903984858,"""6917529979740298933""",infuse,Exotic,Chest Armor,,Hunter,1810,,3,Vault,false,false,1,1,,19,3,14,14,13,2,65,19,3,14,14,13,2,65,,,Probability Matrix*,,,,,,,,,,
Veiled Tithes Greaves,2817251955,"""6917529980547877617""",,Legendary,Leg Armor,seasonpass,Titan,1810,,2,Vault,true,false,6,22,,6,22,6,23,8,2,67,6,22,6,23,8,2,67,,high resilience + high intellect,Exhumed Excess*,,,,,,,,,,
